GM,TSLA,YNDX
25.185892,242.179993,11.46
24.173231,230.770004,11.01
22.703236,218.869995,10.18
22.278576,220.029999,10.57
22.948238,224.839996,10.84
23.340233,242.990005,12.08
23.683237,248.479996,12.35
24.042566,249.059998,12.2
23.389236,238.630005,11.71
23.854733,247.690002,11.73
23.773071,245.570007,11.74
23.585236,241.929993,11.5
24.401897,248.169998,11.51
24.189566,248.910004,11.33
24.801336,248.479996,11.45
24.925337,250.240005,11.27
25.396564,253.190002,12.05
25.619774,253.570007,12.24
25.793388,262.25,13.32
25.884323,262.070007,13.1
25.222956,260.619995,12.49
25.313898,264.200012,12.2
24.826138,260.940002,11.57
24.569853,261.059998,11.16
24.338371,263.119995,10.85
24.313572,256.910004,10.69
23.610867,248.429993,10.3
24.098627,246.649994,10.77
24.817869,248.399994,10.73
25.355227,239.880005,10.73
26.231544,247.570007,11.34
26.256344,246.149994,12.24
26.636631,241.460007,11.98
27.3228,231.960007,11.83
27.636953,226.720001,12
27.240131,220.690002,12.37
27.298,215.580002,12.19
27.388939,219.25,12.76
27.554281,216.880005,13.33
27.546011,221.309998,13.6
27.405474,227.009995,13.6
27.479879,228.100006,13.53
27.678288,213.029999,13.35
29.282103,210.089996,13.04
29.282103,211.720001,12.86
29.720257,209.089996,13.22
29.488785,215.259995,14.05
28.910093,210.350006,14.99
29.11677,212.960007,15.71
28.72821,211.630005,15.62
28.860477,206.929993,16.1
29.406115,213.789993,16.389999
29.579725,208.350006,16.360001
29.282103,231.630005,16
29.298635,231.770004,15.74
29.554928,232.360001,15.83
29.488785,225.330002,16.07
29.447447,216.5,15.92
29.389582,219.080002,15.93
29.009295,212.940002,15.23
28.36446,207.190002,15.17
29.075428,214.309998,15.34
29.1085,214,16.27
30.141891,221.070007,17.16
29.877338,221.800003,17.07
30.042679,220.009995,17.51
29.82774,217.75,17.049999
29.943474,218.25,17.09
30.042679,229.639999,17.02
30.06748,231.610001,16.57
29.926939,230.259995,16.629999
